hesitation_ms,correction_rate,response_latency,touch_pressure,swipe_velocity,replay_count,hint_request_count,stylus_deviation,inter_tap_interval,read_aloud_pause_ms,syllable_rate,disfluency_count,kalman_innovation,whisper_wer_proxy,label_CLI,label_PSI,label_VSI,label_FI,label_ES,label_ERI,profile
653.7104919222934,0.04527908622857113,727.2833419386402,0.3850796002811706,165.512175206484,0,0,4.83029893667598,291.9835320765218,358.56306500276906,3.2594508381211327,0,3.6174719587420148,0.0903,0.179,0.0399,0.1147,0.2365,0.8752,0.1287,td
4425.423112480842,0.6774593633613719,3976.290760469816,0.5026400143013003,82.93867555371398,1,2,17.48801646694452,819.8872759188816,1530.3150153101965,1.1862988806761874,2,15.603656690416585,0.7336,0.5546,0.4446,0.295,0.4946,0.4125,0.7247,at_risk
2380.7536930445285,0.6087272913813265,1891.4856936297383,0.5065687978542938,222.97701853080832,1,2,4.14553839351404,692.9758312882193,1191.562763261008,1.7829896678168342,0,8.641074072276972,0.3547,0.652,0.351,0.5054,0.4382,0.4905,0.205,mild
857.108872445913,0.018233217064753466,860.3941485038542,0.42746084779920246,242.29091619179263,0,0,8.479296083862023,381.4214017037663,569.9203598969387,3.238965365183113,0,2.7528423426700535,0.2531,0.2385,0.1975,0.263,0.3449,0.7863,0.1698,td
2701.1194485934298,0.438377841936527,2669.182523137347,0.7932342286227653,33.17538360818354,2,4,18.848532725714062,862.1892179790125,1642.1708592522425,0.7612406332399947,8,14.649946534249723,0.9598,0.8679,0.3189,0.5613,0.4966,0.3605,0.649,at_risk
1981.7793093310252,0.5245436877931623,1005.9778083490256,0.7009454919623118,156.97455759643177,2,0,13.902398818775033,723.9400735245937,655.108682029957,2.050476282268136,1,5.350467972364572,0.4709,0.5062,0.5055,0.7053,0.4043,0.4443,0.4956,mild
1009.7477573472237,0.05556636272882014,653.5429237195849,0.5915930302279598,273.4512909063199,0,2,6.443730295554465,573.0363846185402,505.9413194636773,3.0495151584866145,1,2.946037321952219,0.282,0.1458,0.1802,0.0498,0.3329,0.9321,0.2168,td
521.3113060516152,0.5376913831696883,872.9068978066525,0.5556075273823151,290.63568201693136,2,0,4.365122890324636,406.8279177964839,239.74817127276347,3.237673223292925,0,2.11343214040941,0.2965,0.1312,0.187,0.0,0.3862,0.8742,0.1254,td
3660.4372079999157,0.5512597814724749,2505.0066310207094,0.5803218316705299,147.78682446513633,6,2,29.146368052779867,1149.0980565890636,2188.4556027291646,1.4084066561077628,5,15.385494718347429,0.6666,0.6085,0.5671,0.381,0.6808,0.2717,0.6772,at_risk
835.5049405239442,0.649965865727349,1965.5887420148463,0.8226446578831077,114.23889359781295,2,2,20.54949124238268,928.9551731498258,1641.9023419986113,1.8401543752127125,8,15.959936348628602,0.8515,0.5079,0.6942,0.7675,0.6483,0.054,0.7071,at_risk
3069.7608026939142,0.8849962531614232,3069.9870048079288,0.717597568821971,124.58337748095514,4,1,14.918534559039461,945.4629449348706,1550.9839389337787,1.0784896019414767,5,10.517967795466477,0.5704,0.7798,0.4061,0.604,0.9097,0.2932,0.7381,at_risk
2046.6577708389882,0.7875258931472212,1314.0493752409961,0.7143227788441905,179.2412805057388,6,0,10.488834729931666,359.7959498784716,1272.8388425378323,2.3221440914034304,3,5.581144493716264,0.6156,0.4187,0.5292,0.4084,0.4174,0.7037,0.4092,mild
454.81547310913237,0.08176459976932997,655.1314961183598,0.44182786507977534,258.0718243531465,1,0,6.543066519523839,484.7297048792195,432.50274502934207,3.0431840816517077,0,2.3834248925444252,0.1013,0.1946,0.2084,0.013,0.2025,0.8002,0.1673,td
